Flows,In_out_bytes,In_out_pckts,Protocol_flags,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,file,model,ds,step
422,1,1,0,415,1,9,2,0,0,1,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-5500.csv,04-gpt2,NF-ToN-IoT,5500
343,0,0,0,343,3,4,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-6000.csv,04-gpt2,NF-ToN-IoT,6000
318,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-6500.csv,04-gpt2,NF-ToN-IoT,6500
337,0,0,0,334,0,3,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-7000.csv,04-gpt2,NF-ToN-IoT,7000
306,0,0,0,305,0,1,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-7500.csv,04-gpt2,NF-ToN-IoT,7500
276,0,0,0,274,0,2,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-8000.csv,04-gpt2,NF-ToN-IoT,8000
258,0,0,1,256,0,1,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-8500.csv,04-gpt2,NF-ToN-IoT,8500
266,0,0,0,262,1,3,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-9000.csv,04-gpt2,NF-ToN-IoT,9000
229,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-9500.csv,04-gpt2,NF-ToN-IoT,9500
912,1,1,1,908,5,8,1,1,1,1,1,1,1,1,3,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-0500.csv,04-gpt2,NF-UNSW-NB15,500
663,0,2,1,655,0,5,0,0,0,0,0,0,0,0,4,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-1000.csv,04-gpt2,NF-UNSW-NB15,1000
300,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-10000.csv,04-gpt2,NF-UNSW-NB15,10000
651,0,3,2,644,0,6,0,0,0,0,0,0,0,0,2,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-1500.csv,04-gpt2,NF-UNSW-NB15,1500
615,0,2,3,606,0,5,0,0,0,0,0,0,0,0,3,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-2000.csv,04-gpt2,NF-UNSW-NB15,2000
407,0,0,2,403,0,2,0,0,0,0,0,0,0,0,1,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-2500.csv,04-gpt2,NF-UNSW-NB15,2500
476,0,0,2,473,0,1,0,0,0,0,0,0,0,0,1,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-3000.csv,04-gpt2,NF-UNSW-NB15,3000
424,0,0,2,421,1,2,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-3500.csv,04-gpt2,NF-UNSW-NB15,3500
362,0,0,1,361,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-4000.csv,04-gpt2,NF-UNSW-NB15,4000
292,0,0,2,290,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-4500.csv,04-gpt2,NF-UNSW-NB15,4500
290,2,0,0,288,0,0,0,0,0,2,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-5000.csv,04-gpt2,NF-UNSW-NB15,5000
335,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-5500.csv,04-gpt2,NF-UNSW-NB15,5500
317,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-6000.csv,04-gpt2,NF-UNSW-NB15,6000
320,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-6500.csv,04-gpt2,NF-UNSW-NB15,6500
303,1,0,1,301,0,1,0,0,0,1,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-7000.csv,04-gpt2,NF-UNSW-NB15,7000
286,0,0,0,286,0,1,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-7500.csv,04-gpt2,NF-UNSW-NB15,7500
269,0,0,1,268,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-8000.csv,04-gpt2,NF-UNSW-NB15,8000
297,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-8500.csv,04-gpt2,NF-UNSW-NB15,8500
312,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-9000.csv,04-gpt2,NF-UNSW-NB15,9000
310,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-UNSW-NB15_step-9500.csv,04-gpt2,NF-UNSW-NB15,9500
